Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tauros Paldean Form; Blaze Breed,LV7.5,0,4,0,520
Tauros Paldean Form; Blaze Breed,LV7.5,1,0,2,520
Tauros Paldean Form; Blaze Breed,LV7.5,1,1,1,520
Tauros Paldean Form; Blaze Breed,LV7.5,1,2,0,520
Tauros Paldean Form; Blaze Breed,LV7.5,2,0,0,520
Tauros Paldean Form; Blaze Breed,LV7,2,14,15,520
Tauros Paldean Form; Blaze Breed,LV7,2,15,14,520
Tauros Paldean Form; Blaze Breed,LV7,3,12,15,520
Tauros Paldean Form; Blaze Breed,LV7,3,13,14,520
Tauros Paldean Form; Blaze Breed,LV7,3,14,13,520
Tauros Paldean Form; Blaze Breed,LV7,3,15,12,520
Tauros Paldean Form; Blaze Breed,LV7,4,10,15,520
Tauros Paldean Form; Blaze Breed,LV7,4,11,14,520
Tauros Paldean Form; Blaze Breed,LV7,4,12,13,520
Tauros Paldean Form; Blaze Breed,LV7,4,13,12,520
Tauros Paldean Form; Blaze Breed,LV7,4,14,11,520
Tauros Paldean Form; Blaze Breed,LV7,4,15,10,520
Tauros Paldean Form; Blaze Breed,LV7,5,8,15,520
Tauros Paldean Form; Blaze Breed,LV7,5,9,14,520
Tauros Paldean Form; Blaze Breed,LV7,5,10,13,520
Tauros Paldean Form; Blaze Breed,LV7,5,11,12,520
Tauros Paldean Form; Blaze Breed,LV7,5,12,11,520
Tauros Paldean Form; Blaze Breed,LV7,5,13,10,520
Tauros Paldean Form; Blaze Breed,LV7,6,6,15,520
Tauros Paldean Form; Blaze Breed,LV7,6,7,14,520
Tauros Paldean Form; Blaze Breed,LV7,6,8,13,520
Tauros Paldean Form; Blaze Breed,LV7,6,9,12,520
Tauros Paldean Form; Blaze Breed,LV7,6,10,11,520
Tauros Paldean Form; Blaze Breed,LV7,6,15,7,520
Tauros Paldean Form; Blaze Breed,LV7,7,11,9,520
Tauros Paldean Form; Blaze Breed,LV7,7,12,8,520
Tauros Paldean Form; Blaze Breed,LV7,7,13,7,520
Tauros Paldean Form; Blaze Breed,LV7,7,14,6,520
Tauros Paldean Form; Blaze Breed,LV7,7,15,5,520
Tauros Paldean Form; Blaze Breed,LV7,8,7,11,520
Tauros Paldean Form; Blaze Breed,LV7,8,8,10,520
Tauros Paldean Form; Blaze Breed,LV7,8,9,9,520
Tauros Paldean Form; Blaze Breed,LV7,8,10,8,520
Tauros Paldean Form; Blaze Breed,LV7,8,11,7,520
Tauros Paldean Form; Blaze Breed,LV7,8,12,6,520
Tauros Paldean Form; Blaze Breed,LV7,8,13,5,520
Tauros Paldean Form; Blaze Breed,LV7,8,14,4,520
Tauros Paldean Form; Blaze Breed,LV7,8,15,3,520
Tauros Paldean Form; Blaze Breed,LV7,9,1,15,520
Tauros Paldean Form; Blaze Breed,LV7,9,2,14,520
Tauros Paldean Form; Blaze Breed,LV7,9,3,13,520
Tauros Paldean Form; Blaze Breed,LV7,9,4,12,520
Tauros Paldean Form; Blaze Breed,LV7,9,5,11,520
Tauros Paldean Form; Blaze Breed,LV7,9,6,10,520
Tauros Paldean Form; Blaze Breed,LV7,9,7,9,520
Tauros Paldean Form; Blaze Breed,LV7,9,8,8,520
Tauros Paldean Form; Blaze Breed,LV7,9,9,7,520
Tauros Paldean Form; Blaze Breed,LV7,9,10,6,520
Tauros Paldean Form; Blaze Breed,LV7,9,11,5,520
Tauros Paldean Form; Blaze Breed,LV7,9,12,4,520
Tauros Paldean Form; Blaze Breed,LV7,10,0,14,520
Tauros Paldean Form; Blaze Breed,LV7,10,1,13,520
Tauros Paldean Form; Blaze Breed,LV7,10,2,12,520
Tauros Paldean Form; Blaze Breed,LV7,10,3,11,520
Tauros Paldean Form; Blaze Breed,LV7,10,4,10,520
Tauros Paldean Form; Blaze Breed,LV7,10,5,9,520
Tauros Paldean Form; Blaze Breed,LV7,10,6,8,520
Tauros Paldean Form; Blaze Breed,LV7,10,7,7,520
Tauros Paldean Form; Blaze Breed,LV7,10,8,6,520
Tauros Paldean Form; Blaze Breed,LV7,10,9,5,520
Tauros Paldean Form; Blaze Breed,LV7,10,13,2,520
Tauros Paldean Form; Blaze Breed,LV7,10,14,1,520
Tauros Paldean Form; Blaze Breed,LV7,10,15,0,520
Tauros Paldean Form; Blaze Breed,LV7,11,0,12,520
Tauros Paldean Form; Blaze Breed,LV7,11,1,11,520
Tauros Paldean Form; Blaze Breed,LV7,11,2,10,520
Tauros Paldean Form; Blaze Breed,LV7,11,3,9,520
Tauros Paldean Form; Blaze Breed,LV7,11,4,8,520
Tauros Paldean Form; Blaze Breed,LV7,11,9,4,520
Tauros Paldean Form; Blaze Breed,LV7,11,10,3,520
Tauros Paldean Form; Blaze Breed,LV7,11,11,2,520
Tauros Paldean Form; Blaze Breed,LV7,11,12,1,520
Tauros Paldean Form; Blaze Breed,LV7,11,13,0,520
Tauros Paldean Form; Blaze Breed,LV7,12,5,6,520
Tauros Paldean Form; Blaze Breed,LV7,12,6,5,520
Tauros Paldean Form; Blaze Breed,LV7,12,7,4,520
Tauros Paldean Form; Blaze Breed,LV7,12,8,3,520
Tauros Paldean Form; Blaze Breed,LV7,12,9,2,520
Tauros Paldean Form; Blaze Breed,LV7,12,10,1,520
Tauros Paldean Form; Blaze Breed,LV7,12,11,0,520
Tauros Paldean Form; Blaze Breed,LV7,13,0,9,520
Tauros Paldean Form; Blaze Breed,LV7,13,1,8,520
Tauros Paldean Form; Blaze Breed,LV7,13,2,7,520
Tauros Paldean Form; Blaze Breed,LV7,13,3,6,520
Tauros Paldean Form; Blaze Breed,LV7,13,4,5,520
